

(Table III)	Centrality  0-10%
-------------------------------------------------------------------------------------------------------------------------------------------------
 \delta\eta | <\mu_c> | <\mu>   | \delta<\mu_c> | <k_c>  | <k>    | \delta<k_c> | <\chi^2/NDF> | <NDF> | \delta<k_c> | \delta<k_c> | \delta<k_c> 
 0.306      |   5.141 |   3.872 | \pm 0.016     |  19.30 |  14.66 | \pm 0.74    | 0.62         | 15 .5 | \pm  0.51   | \pm  0.19   | \pm  0.92   
 0.284      |   4.780 |   3.610 | \pm 0.015     |  18.97 |  14.51 | \pm 0.78    | 0.59         | 14 .9 | \pm  0.47   | \pm  0.17   | \pm  0.93   
 0.263      |   4.418 |   3.345 | \pm 0.015     |  18.76 |  14.44 | \pm 0.82    | 0.61         | 14 .2 | \pm  0.48   | \pm  0.21   | \pm  0.97   
 0.241      |   4.056 |   3.077 | \pm 0.014     |  18.53 |  14.33 | \pm 0.87    | 0.59         | 13 .6 | \pm  0.48   | \pm  0.19   | \pm  1.01   
 0.219      |   3.689 |   2.803 | \pm 0.011     |  18.38 |  14.30 | \pm 0.76    | 0.61         | 13 .0 | \pm  0.49   | \pm  0.19   | \pm  0.93   
 0.197      |   3.321 |   2.526 | \pm 0.010     |  18.29 |  14.30 | \pm 0.83    | 0.60         | 12 .2 | \pm  0.44   | \pm  0.20   | \pm  0.96   
 0.175      |   2.953 |   2.244 | \pm 0.008     |  18.03 |  14.17 | \pm 0.79    | 0.56         | 11 .4 | \pm  0.52   | \pm  0.20   | \pm  0.97   
 0.153      |   2.583 |   1.962 | \pm 0.007     |  17.80 |  14.06 | \pm 0.89    | 0.55         | 10 .4 | \pm  0.46   | \pm  0.22   | \pm  1.02   
 0.131      |   2.215 |   1.678 | \pm 0.006     |  17.55 |  13.94 | \pm 0.92    | 0.57         |  9 .3 | \pm  0.34   | \pm  0.24   | \pm  1.00   
 0.109      |   1.846 |   1.394 | \pm 0.005     |  17.10 |  13.66 | \pm 0.98    | 0.56         |  8 .2 | \pm  0.34   | \pm  0.29   | \pm  1.08   
 0.087      |   1.477 |   1.109 | \pm 0.004     |  16.55 |  13.29 | \pm 1.05    | 0.51         |  7 .0 | \pm  0.29   | \pm  0.27   | \pm  1.12   
 0.066      |   1.117 |   0.875 | \pm 0.003     |  16.05 |  12.98 | \pm 1.09    | 0.51         |  5 .8 | \pm  0.26   | \pm  0.34   | \pm  1.17   
-------------------------------------------------------------------------------------------------------------------------------------------------


(Table XIII)	Centrality 50-60%
-------------------------------------------------------------------------------------------------------------------------------------------------
 \delta\eta | <\mu_c> | <\mu>   | \delta<\mu_c> | <k_c>  | <k>    | \delta<k_c> | <\chi^2/NDF> | <NDF> | \delta<k_c> | \delta<k_c> | \delta<k_c> 
            |         |         | (stat)        |        |        | (stat)      |              |       | (dead)      | (fake)      | (total)     
-------------------------------------------------------------------------------------------------------------------------------------------------
 0.700      |   4.508 |   3.489 | \pm 0.023     |   8.89 |   6.88 | \pm 0.29    | 0.90         | 15 .0 | \pm  0.21   | \pm  0.01   | \pm  0.35   
 0.678      |   4.387 |   3.398 | \pm 0.022     |   8.85 |   6.85 | \pm 0.29    | 0.90         | 14 .8 | \pm  0.23   | \pm  0.01   | \pm  0.37   
 0.656      |   4.248 |   3.286 | \pm 0.022     |   8.78 |   6.79 | \pm 0.29    | 0.76         | 14 .2 | \pm  0.25   | \pm  0.01   | \pm  0.39   
 0.634      |   4.102 |   3.169 | \pm 0.021     |   8.74 |   6.75 | \pm 0.30    | 0.76         | 13 .9 | \pm  0.26   | \pm  0.01   | \pm  0.39   
 0.613      |   3.954 |   3.052 | \pm 0.021     |   8.81 |   6.80 | \pm 0.31    | 1.14         | 13 .4 | \pm  0.23   | \pm  0.01   | \pm  0.38   
 0.591      |   3.813 |   2.942 | \pm 0.020     |   8.67 |   6.69 | \pm 0.31    | 0.91         | 13 .1 | \pm  0.24   | \pm  0.01   | \pm  0.39   
 0.569      |   3.666 |   2.827 | \pm 0.020     |   8.66 |   6.67 | \pm 0.32    | 0.96         | 12 .9 | \pm  0.27   | \pm  0.02   | \pm  0.42   
 0.547      |   3.518 |   2.708 | \pm 0.019     |   8.78 |   6.76 | \pm 0.33    | 1.19         | 12 .5 | \pm  0.21   | \pm  0.01   | \pm  0.40   
 0.525      |   3.378 |   2.596 | \pm 0.019     |   8.67 |   6.66 | \pm 0.34    | 0.93         | 12 .0 | \pm  0.21   | \pm  0.01   | \pm  0.40   
 0.503      |   3.236 |   2.482 | \pm 0.018     |   8.67 |   6.65 | \pm 0.35    | 0.86         | 11 .8 | \pm  0.25   | \pm  0.01   | \pm  0.43   
 0.481      |   3.091 |   2.366 | \pm 0.018     |   8.71 |   6.67 | \pm 0.36    | 0.88         | 11 .6 | \pm  0.23   | \pm  0.02   | \pm  0.43   
 0.459      |   2.949 |   2.250 | \pm 0.017     |   8.67 |   6.62 | \pm 0.37    | 0.80         | 11 .1 | \pm  0.20   | \pm  0.02   | \pm  0.42   
 0.438      |   2.806 |   2.133 | \pm 0.017     |   8.63 |   6.56 | \pm 0.39    | 0.76         | 10 .5 | \pm  0.20   | \pm  0.03   | \pm  0.44   
 0.416      |   2.664 |   2.017 | \pm 0.017     |   8.58 |   6.50 | \pm 0.40    | 0.65         |  9 .9 | \pm  0.24   | \pm  0.03   | \pm  0.47   
 0.394      |   2.520 |   1.901 | \pm 0.016     |   8.60 |   6.49 | \pm 0.42    | 0.64         |  9 .5 | \pm  0.23   | \pm  0.02   | \pm  0.48   
 0.372      |   2.376 |   1.785 | \pm 0.015     |   8.69 |   6.54 | \pm 0.45    | 0.75         |  8 .9 | \pm  0.26   | \pm  0.02   | \pm  0.52   
 0.350      |   2.236 |   1.675 | \pm 0.011     |   8.77 |   6.57 | \pm 0.34    | 0.73         |  8 .5 | \pm  0.25   | \pm  0.02   | \pm  0.43   
 0.328      |   2.097 |   1.575 | \pm 0.010     |   8.75 |   6.58 | \pm 0.36    | 0.69         |  8 .1 | \pm  0.25   | \pm  0.02   | \pm  0.44   
 0.306      |   1.960 |   1.476 | \pm 0.010     |   8.74 |   6.61 | \pm 0.38    | 0.74         |  7 .6 | \pm  0.22   | \pm  0.03   | \pm  0.44   
 0.284      |   1.822 |   1.376 | \pm 0.009     |   8.71 |   6.63 | \pm 0.41    | 0.75         |  7 .1 | \pm  0.23   | \pm  0.03   | \pm  0.47   
 0.263      |   1.683 |   1.274 | \pm 0.009     |   8.70 |   6.67 | \pm 0.44    | 0.78         |  6 .7 | \pm  0.21   | \pm  0.03   | \pm  0.49   
 0.241      |   1.545 |   1.172 | \pm 0.008     |   8.66 |   6.67 | \pm 0.47    | 0.75         |  6 .3 | \pm  0.19   | \pm  0.03   | \pm  0.51   
 0.219      |   1.407 |   1.069 | \pm 0.006     |   8.55 |   6.62 | \pm 0.41    | 0.70         |  5 .9 | \pm  0.18   | \pm  0.03   | \pm  0.45   
 0.197      |   1.267 |   0.963 | \pm 0.006     |   8.45 |   6.57 | \pm 0.45    | 0.59         |  5 .5 | \pm  0.18   | \pm  0.03   | \pm  0.48   
 0.175      |   1.126 |   0.856 | \pm 0.005     |   8.41 |   6.59 | \pm 0.44    | 0.59         |  5 .2 | \pm  0.15   | \pm  0.04   | \pm  0.47   
 0.153      |   0.986 |   0.749 | \pm 0.005     |   8.31 |   6.54 | \pm 0.50    | 0.58         |  4 .8 | \pm  0.14   | \pm  0.05   | \pm  0.52   
 0.131      |   0.846 |   0.641 | \pm 0.004     |   8.07 |   6.36 | \pm 0.52    | 0.52         |  4 .4 | \pm  0.16   | \pm  0.06   | \pm  0.55   
 0.109      |   0.706 |   0.534 | \pm 0.003     |   7.85 |   6.21 | \pm 0.54    | 0.40         |  3 .8 | \pm  0.08   | \pm  0.07   | \pm  0.55   
 0.087      |   0.565 |   0.424 | \pm 0.002     |   7.86 |   6.23 | \pm 0.64    | 0.58         |  3 .3 | \pm  0.06   | \pm  0.09   | \pm  0.65   
 0.066      |   0.428 |   0.339 | \pm 0.002     |   7.22 |   5.77 | \pm 0.64    | 0.44         |  2 .9 | \pm  0.06   | \pm  0.07   | \pm  0.65   
-------------------------------------------------------------------------------------------------------------------------------------------------


(Table XIV)	Centrality 55-65%
-------------------------------------------------------------------------------------------------------------------------------------------------
 \delta\eta | <\mu_c> | <\mu>   | \delta<\mu_c> | <k_c>  | <k>    | \delta<k_c> | <\chi^2/NDF> | <NDF> | \delta<k_c> | \delta<k_c> | \delta<k_c> 
            |         |         | (stat)        |        |        | (stat)      |              |       | (dead)      | (fake)      | (total)     
-------------------------------------------------------------------------------------------------------------------------------------------------
 0.700      |   3.086 |   2.389 | \pm 0.019     |   5.90 |   4.56 | \pm 0.20    | 0.76         | 13 .0 | \pm  0.25   | \pm  0.01   | \pm  0.32   
 0.678      |   3.000 |   2.324 | \pm 0.019     |   5.88 |   4.56 | \pm 0.20    | 0.79         | 12 .7 | \pm  0.13   | \pm  0.01   | \pm  0.24   
 0.656      |   2.902 |   2.245 | \pm 0.018     |   5.85 |   4.52 | \pm 0.20    | 0.76         | 12 .5 | \pm  0.14   | \pm  0.02   | \pm  0.24   
 0.634      |   2.803 |   2.166 | \pm 0.018     |   5.78 |   4.46 | \pm 0.20    | 0.69         | 12 .2 | \pm  0.14   | \pm  0.02   | \pm  0.25   
 0.613      |   2.703 |   2.086 | \pm 0.017     |   5.80 |   4.48 | \pm 0.21    | 0.78         | 12 .1 | \pm  0.07   | \pm  0.02   | \pm  0.22   
 0.591      |   2.607 |   2.012 | \pm 0.017     |   5.76 |   4.45 | \pm 0.21    | 0.70         | 11 .3 | \pm  0.14   | \pm  0.02   | \pm  0.25   
 0.569      |   2.508 |   1.934 | \pm 0.017     |   5.76 |   4.44 | \pm 0.22    | 0.62         | 10 .9 | \pm  0.13   | \pm  0.02   | \pm  0.25   
 0.547      |   2.410 |   1.855 | \pm 0.016     |   5.75 |   4.43 | \pm 0.23    | 0.55         | 10 .3 | \pm  0.12   | \pm  0.04   | \pm  0.26   
 0.525      |   2.313 |   1.777 | \pm 0.016     |   5.75 |   4.42 | \pm 0.23    | 0.50         |  9 .9 | \pm  0.16   | \pm  0.04   | \pm  0.28   
 0.503      |   2.215 |   1.699 | \pm 0.015     |   5.76 |   4.42 | \pm 0.24    | 0.47         |  9 .6 | \pm  0.16   | \pm  0.01   | \pm  0.29   
 0.481      |   2.117 |   1.620 | \pm 0.015     |   5.79 |   4.43 | \pm 0.25    | 0.49         |  9 .2 | \pm  0.16   | \pm  0.01   | \pm  0.30   
 0.459      |   2.018 |   1.540 | \pm 0.015     |   5.78 |   4.41 | \pm 0.26    | 0.49         |  8 .9 | \pm  0.16   | \pm  0.01   | \pm  0.30   
 0.438      |   1.919 |   1.459 | \pm 0.014     |   5.79 |   4.40 | \pm 0.27    | 0.50         |  8 .8 | \pm  0.17   | \pm  0.02   | \pm  0.32   
 0.416      |   1.820 |   1.378 | \pm 0.014     |   5.81 |   4.40 | \pm 0.28    | 0.52         |  8 .6 | \pm  0.20   | \pm  0.03   | \pm  0.34   
 0.394      |   1.721 |   1.298 | \pm 0.013     |   5.84 |   4.41 | \pm 0.30    | 0.53         |  8 .4 | \pm  0.15   | \pm  0.02   | \pm  0.34   
 0.372      |   1.623 |   1.219 | \pm 0.013     |   5.84 |   4.39 | \pm 0.32    | 0.54         |  7 .8 | \pm  0.18   | \pm  0.01   | \pm  0.36   
 0.350      |   1.527 |   1.144 | \pm 0.009     |   5.87 |   4.41 | \pm 0.24    | 0.52         |  7 .6 | \pm  0.21   | \pm  0.01   | \pm  0.32   
 0.328      |   1.432 |   1.075 | \pm 0.008     |   5.86 |   4.42 | \pm 0.25    | 0.49         |  7 .4 | \pm  0.24   | \pm  0.02   | \pm  0.34   
 0.306      |   1.339 |   1.008 | \pm 0.008     |   5.85 |   4.43 | \pm 0.27    | 0.48         |  7 .2 | \pm  0.21   | \pm  0.02   | \pm  0.34   
 0.284      |   1.244 |   0.940 | \pm 0.008     |   5.85 |   4.45 | \pm 0.28    | 0.52         |  6 .9 | \pm  0.21   | \pm  0.02   | \pm  0.35   
 0.263      |   1.150 |   0.871 | \pm 0.007     |   5.85 |   4.48 | \pm 0.31    | 0.59         |  6 .5 | \pm  0.14   | \pm  0.02   | \pm  0.34   
 0.241      |   1.056 |   0.801 | \pm 0.007     |   5.83 |   4.49 | \pm 0.33    | 0.59         |  6 .2 | \pm  0.11   | \pm  0.02   | \pm  0.35   
 0.219      |   0.961 |   0.730 | \pm 0.005     |   5.81 |   4.50 | \pm 0.29    | 0.62         |  5 .9 | \pm  0.10   | \pm  0.03   | \pm  0.31   
 0.197      |   0.866 |   0.658 | \pm 0.005     |   5.73 |   4.46 | \pm 0.32    | 0.57         |  5 .5 | \pm  0.10   | \pm  0.03   | \pm  0.34   
 0.175      |   0.770 |   0.585 | \pm 0.004     |   5.72 |   4.46 | \pm 0.32    | 0.54         |  5 .2 | \pm  0.10   | \pm  0.04   | \pm  0.33   
 0.153      |   0.674 |   0.511 | \pm 0.004     |   5.67 |   4.44 | \pm 0.36    | 0.53         |  4 .8 | \pm  0.09   | \pm  0.06   | \pm  0.38   
 0.131      |   0.578 |   0.438 | \pm 0.003     |   5.50 |   4.32 | \pm 0.36    | 0.40         |  4 .5 | \pm  0.05   | \pm  0.07   | \pm  0.37   
 0.109      |   0.482 |   0.364 | \pm 0.003     |   5.31 |   4.18 | \pm 0.39    | 0.51         |  4 .0 | \pm  0.05   | \pm  0.10   | \pm  0.41   
 0.087      |   0.386 |   0.292 | \pm 0.002     |   4.90 |   3.89 | \pm 0.43    | 0.54         |  3 .6 | \pm  0.05   | \pm  0.02   | \pm  0.43   
 0.066      |   0.292 |   0.232 | \pm 0.002     |   4.56 |   3.63 | \pm 0.44    | 0.57         |  3 .1 | \pm  0.05   | \pm  0.05   | \pm  0.45   
-------------------------------------------------------------------------------------------------------------------------------------------------


